epoch,train_loss,val_loss
1,0.06095293948524877,0.022271413976947468
2,0.03820258035863701,0.0188072151504457
3,0.03304312878141278,0.01799839890251557
4,0.024408029931548395,0.01471527231236299
5,0.024687542776136023,0.015989405723909538
6,0.020354020115184158,0.015335253595064083
7,0.018264532947030506,0.013640320859849453
8,0.018458050185520398,0.012634525696436564
9,0.01737972324419963,0.011677020074178776
10,0.016519365636141675,0.012282347306609154
11,0.015633434890524336,0.010854004416614771
12,0.01334621029366788,0.01050691120326519
13,0.01631758435580291,0.010550375018889705
14,0.014086070617562845,0.009673351654782891
15,0.015555887017399073,0.011861190432682633
16,0.015564095719080222,0.013352818631877502
17,0.014085764310469753,0.010314980521798134
18,0.012553107851233921,0.01064046130826076
19,0.01316511442296599,0.012060162766526142
20,0.013028105990471025,0.00952486569682757
21,0.010844413399402248,0.011307057148466507
22,0.011194019406837853,0.011828008418281874
23,0.011787404379758396,0.01148504150720934
24,0.012117383732019286,0.012047993174443642
25,0.01191429737465162,0.010673171452557048
26,0.010716444616647143,0.010771976706261436
27,0.011392949099995588,0.0123820456986626
28,0.009331422649618042,0.009925557649694383
29,0.010533178029091735,0.011739837549005946
30,0.009871728546721371,0.011663985283424457
31,0.01090059068213266,0.012830792150149742
32,0.00993802525887364,0.010326168732717633
33,0.009315809921214455,0.01188004824022452
34,0.009085140779222312,0.011186069498459498
35,0.009580388150521015,0.011855224457879862
36,0.009298527748078891,0.010959157642597953
37,0.00900279306561539,0.011825198462853828
38,0.008708153397923237,0.010421474153796831
39,0.008474944457319859,0.011197964350382486
40,0.009100798229490848,0.011435667984187603
