epoch,train_loss,val_loss
1,0.04502080822069394,0.019231625677396853
2,0.022332603994168733,0.015274310484528542
3,0.01815374499480975,0.013376628902430335
4,0.017139174436268053,0.013508423852423826
5,0.01667766893086465,0.013307321661462387
6,0.01615641721965451,0.012108397980531057
7,0.014876346459220114,0.011487253398324052
8,0.014876832254230976,0.010538684010195235
9,0.014620750211179256,0.010755528773491582
10,0.014043816659403475,0.013647969734544555
11,0.014174096114737423,0.012493569403886795
12,0.01263006053570854,0.012441121294007948
13,0.011675151892153448,0.011803394843203327
14,0.014304449316114187,0.011477555361731598
15,0.017835285710661036,0.010368250155200561
16,0.013962277015180964,0.015858913616587717
17,0.011646113462599092,0.00917159098510941
18,0.011242074879670614,0.013350530178286135
19,0.014901015686949617,0.01123255054699257
20,0.011711804808950737,0.01031087695931395
21,0.01061869714115011,0.012456087531366697
22,0.01073944245121981,0.008455584310771277
23,0.014203458901886878,0.009940067577796677
24,0.011647616699950672,0.010241617953094343
25,0.010339308632721537,0.008809154077122608
26,0.009841539627431254,0.010432230483274907
27,0.008859969338549203,0.0114714292382511
28,0.009668922836059019,0.010938565401981274
29,0.0110466502067682,0.011361029231920838
30,0.012491466158902958,0.010307696376306316
31,0.010671607071631834,0.012332603510003537
32,0.009905180060549787,0.013474865079236528
33,0.009115846705083785,0.009744696707154313
34,0.009583308680081054,0.012395564660740396
35,0.009432101830546009,0.011377900140359998
36,0.009265176486223936,0.010763743271430334
37,0.00919161418354825,0.010366722436932227
38,0.008606398747743745,0.014022119013437381
39,0.007716379106951584,0.009577751023850093
40,0.007957353213752964,0.011412265341884146
41,0.0076391725727405985,0.010424007118369142
42,0.007561489706858993,0.01176876068348065
