MAE,RMSE,R2,family,model,split
0.05102527372132528,0.09592050467513713,0.90651985017119,dd_xgb_wl_delta,RF,train
0.06676186380243555,0.12547683923651118,0.8234556010558185,dd_xgb_wl_delta,RF,validation
0.10590502186197118,0.17399705173539443,0.70413814673259,dd_xgb_wl_delta,RF,test-interpolation
0.2804919295417385,0.3629614671109087,-0.4780657228548788,dd_xgb_wl_delta,RF,test-extrapolation
0.027021177113056183,0.04735408280706162,0.9772169589996338,dd_xgb_wl_delta,XGB,train
0.0748211219906807,0.13634364578082211,0.7915525436401367,dd_xgb_wl_delta,XGB,validation
0.10344459116458893,0.16336290745174645,0.739197313785553,dd_xgb_wl_delta,XGB,test-interpolation
0.33569905161857605,0.42425879119122334,-1.019456148147583,dd_xgb_wl_delta,XGB,test-extrapolation
0.0651002749800682,0.10077038307153756,0.8968278765678406,dd_xgb_wl_delta,MLP,train
0.0666726604104042,0.1127891581168248,0.8573533296585083,dd_xgb_wl_delta,MLP,validation
0.10073772817850113,0.1623970661693592,0.7422720193862915,dd_xgb_wl_delta,MLP,test-interpolation
0.18112291395664215,0.2362660728517451,0.373710036277771,dd_xgb_wl_delta,MLP,test-extrapolation
