MAE,RMSE,R2,family,model,split
0.03646468722030468,0.07351839540730715,0.9450853109232449,dd_lstm_shortest_path_delta,RF,train
0.07074605360522315,0.12170357564008105,0.8339138266460977,dd_lstm_shortest_path_delta,RF,validation
0.11645511286041259,0.17865461175853856,0.6880868696567686,dd_lstm_shortest_path_delta,RF,test-interpolation
0.2519175218623757,0.33020102627812514,-0.2232903214269466,dd_lstm_shortest_path_delta,RF,test-extrapolation
0.014577859081327915,0.033877711102035406,0.9883393049240112,dd_lstm_shortest_path_delta,XGB,train
0.10770247131586075,0.15830318795033155,0.7190001010894775,dd_lstm_shortest_path_delta,XGB,validation
0.11397301405668259,0.1739738796239168,0.7042169570922852,dd_lstm_shortest_path_delta,XGB,test-interpolation
0.2762773931026459,0.3537967680961381,-0.40436649322509766,dd_lstm_shortest_path_delta,XGB,test-extrapolation
0.04875652492046356,0.08351884498490876,0.9291294813156128,dd_lstm_shortest_path_delta,MLP,train
0.0583893358707428,0.10667878540618661,0.8723905086517334,dd_lstm_shortest_path_delta,MLP,validation
0.1157287135720253,0.19590577618591384,0.6249409914016724,dd_lstm_shortest_path_delta,MLP,test-interpolation
0.17334729433059692,0.2506976080240184,0.29486364126205444,dd_lstm_shortest_path_delta,MLP,test-extrapolation
