split,group,group_value,num_examples,MAE,RMSE,R2
train,overall,overall,1156,0.07069704681634903,0.11475453447179762,0.8662061095237732
validation,overall,overall,165,0.07342144101858139,0.1288832369405044,0.8137399554252625
test-interpolation,overall,overall,260,0.11491607874631882,0.17974199629646742,0.6842783689498901
test-extrapolation,overall,overall,1365,0.18945081532001495,0.24319207363342535,0.3364531993865967
train,domain,blocks,45,0.08687419444322586,0.10065659568961756,0.9052488207817078
train,domain,gripper,20,0.1516641527414322,0.22737477474295859,0.5594000816345215
train,domain,logistics,60,0.1601557433605194,0.19970217188213799,0.5782879590988159
train,domain,visitall-from-everywhere,1031,0.06321417540311813,0.10487687522094886,0.8875899314880371
train,corruption_type,delete,221,0.06583919376134872,0.11826266753794995,0.8173973560333252
train,corruption_type,gold,232,0.06264425069093704,0.0832448659883909,-5.458606243133545
train,corruption_type,insert,15,0.2457108348608017,0.32644060908178474,-0.5967174768447876
train,corruption_type,replace,231,0.05427887663245201,0.09716433130098125,0.8587254881858826
train,corruption_type,swap,226,0.10282237827777863,0.12968792312047484,0.6579015254974365
train,corruption_type,truncate,231,0.05705590546131134,0.11289015624665087,0.801102876663208
validation,domain,blocks,15,0.23970504105091095,0.26595119474676593,-0.10582411289215088
validation,domain,gripper,10,0.20684631168842316,0.253898062940798,-0.01195216178894043
validation,domain,logistics,20,0.1353117674589157,0.20964233710829572,0.43318653106689453
validation,domain,visitall-from-everywhere,120,0.031202202662825584,0.03607928170569493,0.9864667057991028
validation,corruption_type,delete,33,0.05515742674469948,0.10155527382599294,0.872077226638794
validation,corruption_type,gold,33,0.08939649909734726,0.1299138641525664,0.0
validation,corruption_type,insert,2,0.5866998434066772,0.5926255822588191,-64.53567504882812
validation,corruption_type,replace,33,0.05097019672393799,0.07637269190490253,0.9055660963058472
validation,corruption_type,swap,31,0.07441885769367218,0.11921930841687613,0.7944517135620117
validation,corruption_type,truncate,33,0.06611691415309906,0.12407086809580511,0.6896826028823853
test-interpolation,domain,blocks,15,0.18880194425582886,0.23036273037168614,0.513364315032959
test-interpolation,domain,gripper,15,0.12681101262569427,0.16148115132717103,0.48334449529647827
test-interpolation,domain,logistics,45,0.19386032223701477,0.2729072606793018,0.20116716623306274
test-interpolation,domain,visitall-from-everywhere,185,0.08875822275876999,0.1444690996005321,0.8055059909820557
test-interpolation,corruption_type,delete,46,0.13751329481601715,0.2301802526726721,0.4041717052459717
test-interpolation,corruption_type,gold,52,0.10196442157030106,0.13576571857485606,0.0
test-interpolation,corruption_type,insert,13,0.3134210407733917,0.42289349566094386,-1.9673795700073242
test-interpolation,corruption_type,repeat,1,0.23026597499847412,0.23026597267327054,nan
test-interpolation,corruption_type,replace,48,0.09135926514863968,0.1436615824889084,0.6777297854423523
test-interpolation,corruption_type,swap,48,0.11476501077413559,0.13747271678913364,0.5884960889816284
test-interpolation,corruption_type,truncate,52,0.07791758328676224,0.11835802332417895,0.8448102474212646
test-extrapolation,domain,blocks,100,0.2802925705909729,0.32248532291400384,0.08190786838531494
test-extrapolation,domain,gripper,80,0.30772802233695984,0.3422444709835582,-0.11485719680786133
test-extrapolation,domain,logistics,90,0.27333518862724304,0.31371040772640435,0.013116598129272461
test-extrapolation,domain,visitall-from-everywhere,1095,0.165618896484375,0.2181321598041984,0.43253040313720703
test-extrapolation,corruption_type,delete,273,0.18208451569080353,0.2496306104387713,0.14294123649597168
test-extrapolation,corruption_type,gold,273,0.19398298859596252,0.2209210206351247,0.0
test-extrapolation,corruption_type,insert,14,0.36128100752830505,0.40936526367024323,-1.7638585567474365
test-extrapolation,corruption_type,replace,273,0.18085885047912598,0.24793001110295593,0.1819208860397339
test-extrapolation,corruption_type,swap,259,0.17577308416366577,0.24170005104615222,0.18313831090927124
test-extrapolation,corruption_type,truncate,273,0.20504143834114075,0.24311353932264973,-1.2232859134674072
