epoch,train_loss,val_loss
1,0.037067989720717856,0.018631247493127983
2,0.022431807004307445,0.01718329816746215
3,0.020265617750977214,0.016913331113755703
4,0.01997676957398653,0.017979390143106382
5,0.01650092901514941,0.01588028979798158
6,0.01508895822457577,0.015000291517935693
7,0.014638368530493034,0.015505489505206546
8,0.013760221680920375,0.012433603832808634
9,0.012531809726313344,0.01736644624421994
10,0.012442683629495533,0.015471297432668507
11,0.014620171100097267,0.018123616639059037
12,0.012955074051493093,0.01874423948659872
13,0.01244452519734439,0.019075873346688848
14,0.010988399925592699,0.01972592338764419
15,0.011137929499933594,0.018951214306677382
16,0.010346073804325178,0.01827063353266567
17,0.010601046924038153,0.0208047137906154
18,0.010133899772833837,0.021197086238923173
19,0.009554611518979073,0.024750408037410427
20,0.009443293628895557,0.017789979581721127
21,0.009660600267938878,0.018566352994336437
22,0.008765850890133726,0.019819871153837692
23,0.00936107732367849,0.020002781374690432
24,0.009208967857136341,0.019361251732334495
25,0.00961333920100802,0.02100673996998618
26,0.00870416301155561,0.020331750235830743
27,0.009533365355118326,0.0181714875701194
28,0.008469713214588793,0.021296526945661753
