MAE,RMSE,R2,family,model,split
0.05110763471526996,0.09564747682783767,0.907051256053847,dd_xgb_wl_delta,RF,train
0.06690791828332658,0.1269512969185657,0.8192821350897662,dd_xgb_wl_delta,RF,validation
0.10579123529159445,0.1733782538435313,0.7062387931686204,dd_xgb_wl_delta,RF,test-interpolation
0.27729975010674357,0.3590412457974642,-0.4463099916575737,dd_xgb_wl_delta,RF,test-extrapolation
0.027021177113056183,0.04735408280706162,0.9772169589996338,dd_xgb_wl_delta,XGB,train
0.0748211219906807,0.13634364578082211,0.7915525436401367,dd_xgb_wl_delta,XGB,validation
0.10344459116458893,0.16336290745174645,0.739197313785553,dd_xgb_wl_delta,XGB,test-interpolation
0.33569905161857605,0.42425879119122334,-1.019456148147583,dd_xgb_wl_delta,XGB,test-extrapolation
0.06822589784860611,0.1108243149958015,0.8752138018608093,dd_xgb_wl_delta,MLP,train
0.06810715049505234,0.11935890245250448,0.840251624584198,dd_xgb_wl_delta,MLP,validation
0.10805383324623108,0.17551652259702416,0.6989482641220093,dd_xgb_wl_delta,MLP,test-interpolation
0.1980530470609665,0.24694330169970324,0.3158249258995056,dd_xgb_wl_delta,MLP,test-extrapolation
