MAE,RMSE,R2,family,model,split
0.03217036348535981,0.06901218278702863,0.9516108473162582,dd_lstm_shortest_path_delta,RF,train
0.06848796724947576,0.11974030410494296,0.8392290727055042,dd_lstm_shortest_path_delta,RF,validation
0.0992420379522367,0.15567184748664192,0.763176195600282,dd_lstm_shortest_path_delta,RF,test-interpolation
0.31294895225246483,0.4068988961772287,-0.8575722971567115,dd_lstm_shortest_path_delta,RF,test-extrapolation
0.019281266257166862,0.03717763013201349,0.9859570264816284,dd_lstm_shortest_path_delta,XGB,train
0.07012369483709335,0.11669399936129002,0.8473052978515625,dd_lstm_shortest_path_delta,XGB,validation
0.09883728623390198,0.15416957940000578,0.7677249312400818,dd_lstm_shortest_path_delta,XGB,test-interpolation
0.30467167496681213,0.39670218512383076,-0.765639066696167,dd_lstm_shortest_path_delta,XGB,test-extrapolation
0.04662090539932251,0.07997416807981707,0.9350175857543945,dd_lstm_shortest_path_delta,MLP,train
0.055837295949459076,0.10096040482068006,0.885704517364502,dd_lstm_shortest_path_delta,MLP,validation
0.10224761813879013,0.17362487354301423,0.7054024934768677,dd_lstm_shortest_path_delta,MLP,test-interpolation
0.17868153750896454,0.2322574562845819,0.3947817087173462,dd_lstm_shortest_path_delta,MLP,test-extrapolation
