epoch,train_loss,val_loss
1,0.88030753637615,0.6689488689104716
2,0.5768804518800033,0.5153040289878845
3,0.4145462520812687,0.4411690632502238
4,0.31518594057936417,0.3195579747358958
5,0.22137798133649325,0.26874864598115283
6,0.17046077980806953,0.20429082959890366
7,0.14931232521408483,0.19216479857762656
8,0.12447779900149296,0.14258615672588348
9,0.13662479543372205,0.2086737205584844
10,0.1092472554821717,0.15511521697044373
11,0.08953221397180307,0.21494542062282562
12,0.08551756037693274,0.13717457403739294
13,0.06937371998241074,0.09877934244771798
14,0.060467845711268876,0.11074602355559666
15,0.07326660717004224,0.1338855903595686
16,0.06711897342220734,0.12728183219830194
17,0.058472367591763795,0.07516621736188729
18,0.06330799997637146,0.2381389612952868
19,0.060492398413388354,0.07444688336302836
20,0.06716241020905345,0.13110689570506415
21,0.09109723808145836,0.15313749263683954
22,0.07593881583919651,0.1708581012984117
23,0.06501328954963308,0.10733434495826562
24,0.044875476019162884,0.08781733860572179
25,0.043331624449867955,0.11590367555618286
26,0.041598583032426084,0.23250728845596313
27,0.046039989683777094,0.10874959453940392
28,0.05278523084952643,0.07862899328271548
29,0.044835725897236875,0.06529957459618647
30,0.048492151410564,0.05630253084624807
31,0.034018584183956445,0.04852807273467382
32,0.033921952040767984,0.092698169251283
33,0.037529212618736846,0.0682591221605738
34,0.03637785584616818,0.04972018317009012
35,0.04409403126000574,0.05473429694150885
36,0.049692031853881324,0.11283979068199794
37,0.032493477907816044,0.10028798505663872
38,0.03377654548048189,0.09685301035642624
39,0.03241219408319969,0.11829547335704167
40,0.04790723912025753,0.11945623174930613
41,0.05241392074937099,0.09638592996634543
42,0.03109567535207852,0.06856119935400784
43,0.030916920201362746,0.05493925263484319
