method,family,split,num_runs,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std
mlp,ad_lstm_wl_delta,test-extrapolation,3,0.18487425645192465,0.014019368446819589,0.25077449844516175,0.012221349521268106,0.29275526603062946,0.06925550473982668
mlp,ad_lstm_wl_delta,test-interpolation,3,0.09315154204765956,0.005903142551393152,0.15735444870758847,0.0031234585964595714,0.7579337159792582,0.009669223518624407
mlp,ad_lstm_wl_delta,train,3,0.04795236264665922,0.007693073105227891,0.07843991473795957,0.010156192680001412,0.9364389379819235,0.016907776462531714
mlp,ad_lstm_wl_delta,validation,3,0.051173550387223564,0.0076269633113946545,0.0957065695696615,0.006688797555493524,0.8967888951301575,0.014338565949138293
mlp,ad_xgb_wl_delta,test-extrapolation,3,0.16755651930967966,0.002492409725898894,0.24098271280291228,0.005483973709876673,0.3481174310048421,0.029733457992557045
mlp,ad_xgb_wl_delta,test-interpolation,3,0.11781493822733562,0.010712201025880887,0.19746341037557438,0.014727292012791887,0.616833508014679,0.05680031481864948
mlp,ad_xgb_wl_delta,train,3,0.05731485038995743,0.00943545628701959,0.09495807058752531,0.014162804689413654,0.9063483874003092,0.02864803632618317
mlp,ad_xgb_wl_delta,validation,3,0.05779128894209862,0.009852980152077993,0.10425379449225718,0.013363304688774067,0.8761237064997355,0.03264814413006704
mlp,dd_lstm_shortest_path_delta,test-extrapolation,3,0.17386537790298462,0.0018607125143631032,0.23415179632529193,0.006394768563974501,0.3844100435574849,0.033705956877390565
mlp,dd_lstm_shortest_path_delta,test-interpolation,3,0.11240041504303615,0.00673485474768251,0.18446226230195725,0.011055667942563999,0.66628364721934,0.04057932155533807
mlp,dd_lstm_shortest_path_delta,train,3,0.05777096624175707,0.008105786909520284,0.09595797797803511,0.012131961709129422,0.9049513936042786,0.024235012237138042
mlp,dd_lstm_shortest_path_delta,validation,3,0.06508494416872661,0.0055278728315184406,0.11171834512795564,0.009073211515154032,0.8591259519259135,0.02335644317738366
mlp,dd_xgb_wl_delta,test-extrapolation,3,0.20163575311501822,0.009567943542812667,0.254145559947556,0.00881786292624834,0.2744617859522502,0.050243291237777536
mlp,dd_xgb_wl_delta,test-interpolation,3,0.1089337890346845,0.004352378447317049,0.17762428228026272,0.0015027208762860335,0.6916521390279134,0.005232070998566105
mlp,dd_xgb_wl_delta,train,3,0.06498683864871661,0.004146284376188913,0.10814266617612668,0.004776970618881018,0.8809478481610616,0.01063112573859693
mlp,dd_xgb_wl_delta,validation,3,0.0697769820690155,0.0027345248070864353,0.12321597706929789,0.00410105651522569,0.8295716842015585,0.01143937191248933
