epoch,train_loss,val_loss
1,0.06442351090280633,0.0266850795596838
2,0.037116109638621934,0.01889326112965743
3,0.03191086032280797,0.018089687451720238
4,0.027405723047099616,0.01722202372426788
5,0.025944628605717106,0.016602588041375082
6,0.02271666626543983,0.016373961698263884
7,0.021454968930859315,0.015295907078931728
8,0.022475936204979296,0.014415822457522154
9,0.02084303902168023,0.015822035648549598
10,0.02012309500653493,0.015500440960749984
11,0.021176121981912537,0.014366256965634724
12,0.01893829179339503,0.014313225246345004
13,0.018822141095848854,0.014573645894415677
14,0.016467713750898838,0.016986004697779816
15,0.017869484904957444,0.013397279971589645
16,0.020003418291085644,0.013258398898566762
17,0.016901102015062383,0.015006971739542982
18,0.016491353462793325,0.01603299076668918
19,0.016868597288665018,0.014102907890143493
20,0.016088441627002077,0.014689652210411927
21,0.01925010131181855,0.013775763722757498
22,0.015581799867121797,0.014081993722356856
23,0.016791681857093385,0.013698949594981968
24,0.015949802497695936,0.013929159846156836
25,0.014755351542446175,0.014865772682242095
26,0.01600787308263151,0.014892405364662409
27,0.01425839382174768,0.016156048669169348
28,0.015418578282390771,0.014109206929182013
29,0.01550185337270561,0.014410069522758326
30,0.013928404696726878,0.014608422061428428
31,0.014256557670274847,0.014495633367914706
32,0.015700730887290678,0.014295615275235226
33,0.01295411371086773,0.0139442371049275
34,0.013415624338545297,0.013931230661304047
35,0.012527212463809471,0.013661891629453748
36,0.012799286602163002,0.013707575155422091
