MAE,RMSE,R2,family,model,split
0.04928105237803545,0.09175473119204902,0.9144631162614509,ad_lstm_wl_delta,RF,train
0.0593158824168953,0.09965566308148165,0.8886396032768751,ad_lstm_wl_delta,RF,validation
0.10380868109018222,0.16273042065109578,0.7412128615121598,ad_lstm_wl_delta,RF,test-interpolation
0.26579337750748055,0.3452146984772495,-0.3370611180777121,ad_lstm_wl_delta,RF,test-extrapolation
0.00892940815538168,0.03151233465456511,0.9899107813835144,ad_lstm_wl_delta,XGB,train
0.059721339493989944,0.11632119486054765,0.8482794165611267,ad_lstm_wl_delta,XGB,validation
0.10143876075744629,0.16828679314731027,0.7232387661933899,ad_lstm_wl_delta,XGB,test-interpolation
0.2728363573551178,0.3535940810339807,-0.4027578830718994,ad_lstm_wl_delta,XGB,test-extrapolation
0.04513600468635559,0.07595134870794198,0.9413905739784241,ad_lstm_wl_delta,MLP,train
0.04554842412471771,0.09339619971689272,0.9021895527839661,ad_lstm_wl_delta,MLP,validation
0.09306953847408295,0.15352474845585468,0.76966392993927,ad_lstm_wl_delta,MLP,test-interpolation
0.18215884268283844,0.24330717111626932,0.33582496643066406,ad_lstm_wl_delta,MLP,test-extrapolation
0.021038918167321105,0.04908134824227744,0.9755246191825211,ad_xgb_wl_delta,RF,train
0.051569628813892904,0.10018814224944486,0.8874463843995285,ad_xgb_wl_delta,RF,validation
0.10803782896790376,0.17787136849739318,0.6908158037300375,ad_xgb_wl_delta,RF,test-interpolation
0.29563527367956755,0.3854041114010597,-0.666500271577692,ad_xgb_wl_delta,RF,test-extrapolation
0.009287740103900433,0.031601316854231856,0.9898537397384644,ad_xgb_wl_delta,XGB,train
0.05920218676328659,0.11311432444270599,0.856529712677002,ad_xgb_wl_delta,XGB,validation
0.11666107177734375,0.1850764786827,0.6652599573135376,ad_xgb_wl_delta,XGB,test-interpolation
0.3245178461074829,0.4248861300566975,-1.025432825088501,ad_xgb_wl_delta,XGB,test-extrapolation
0.054422613233327866,0.09192707588134534,0.9141414761543274,ad_xgb_wl_delta,MLP,train
0.05670607462525368,0.1021339178250931,0.8830320835113525,ad_xgb_wl_delta,MLP,validation
0.11944043636322021,0.20386798397273356,0.5938343405723572,ad_xgb_wl_delta,MLP,test-interpolation
0.16583290696144104,0.22497435231525165,0.43214327096939087,ad_xgb_wl_delta,MLP,test-extrapolation
0.03714338926112284,0.07619974175062023,0.9410065916142479,dd_lstm_shortest_path_delta,RF,train
0.07563017469071545,0.1255974904504972,0.8231159282246217,dd_lstm_shortest_path_delta,RF,validation
0.11352666952870906,0.17649822325204392,0.6955711059124594,dd_lstm_shortest_path_delta,RF,test-interpolation
0.25713194663017513,0.3341146927073359,-0.2524599593245247,dd_lstm_shortest_path_delta,RF,test-extrapolation
0.02675698697566986,0.04448251860322286,0.9798963069915771,dd_lstm_shortest_path_delta,XGB,train
0.09418997913599014,0.14257889577578875,0.772051215171814,dd_lstm_shortest_path_delta,XGB,validation
0.11911489814519882,0.17492963811149545,0.7009581327438354,dd_lstm_shortest_path_delta,XGB,test-interpolation
0.24142149090766907,0.30509155331803217,-0.0443187952041626,dd_lstm_shortest_path_delta,XGB,test-extrapolation
0.056310370564460754,0.09416655048940603,0.9099072217941284,dd_lstm_shortest_path_delta,MLP,train
0.06872928142547607,0.12784329620454227,0.8167336583137512,dd_lstm_shortest_path_delta,MLP,validation
0.1065022274851799,0.17105280307795445,0.7140661478042603,dd_lstm_shortest_path_delta,MLP,test-interpolation
0.17423002421855927,0.2515279005673387,0.29018521308898926,dd_lstm_shortest_path_delta,MLP,test-extrapolation
0.05110763471526996,0.09564747682783767,0.907051256053847,dd_xgb_wl_delta,RF,train
0.06690791828332658,0.1269512969185657,0.8192821350897662,dd_xgb_wl_delta,RF,validation
0.10579123529159445,0.1733782538435313,0.7062387931686204,dd_xgb_wl_delta,RF,test-interpolation
0.27729975010674357,0.3590412457974642,-0.4463099916575737,dd_xgb_wl_delta,RF,test-extrapolation
0.027021177113056183,0.04735408280706162,0.9772169589996338,dd_xgb_wl_delta,XGB,train
0.0748211219906807,0.13634364578082211,0.7915525436401367,dd_xgb_wl_delta,XGB,validation
0.10344459116458893,0.16336290745174645,0.739197313785553,dd_xgb_wl_delta,XGB,test-interpolation
0.33569905161857605,0.42425879119122334,-1.019456148147583,dd_xgb_wl_delta,XGB,test-extrapolation
0.06822589784860611,0.1108243149958015,0.8752138018608093,dd_xgb_wl_delta,MLP,train
0.06810715049505234,0.11935890245250448,0.840251624584198,dd_xgb_wl_delta,MLP,validation
0.10805383324623108,0.17551652259702416,0.6989482641220093,dd_xgb_wl_delta,MLP,test-interpolation
0.1980530470609665,0.24694330169970324,0.3158249258995056,dd_xgb_wl_delta,MLP,test-extrapolation
