split,group,group_value,num_examples,MAE,RMSE,R2
train,overall,overall,1156,0.060977328568696976,0.10363607776040022,0.8908764719963074
validation,overall,overall,165,0.06683453917503357,0.12144987744978497,0.8346055150032043
test-interpolation,overall,overall,260,0.10468807071447372,0.17641141047671396,0.6958705186843872
test-extrapolation,overall,overall,1365,0.20263275504112244,0.25446014143979806,0.2735390067100525
train,domain,blocks,45,0.07760043442249298,0.0972932362719147,0.9114751219749451
train,domain,gripper,20,0.11046253144741058,0.16848620839303471,0.7580706477165222
train,domain,logistics,60,0.15932467579841614,0.20461764636076948,0.5572724342346191
train,domain,visitall-from-everywhere,1031,0.053568415343761444,0.09296350584546487,0.9116776585578918
train,corruption_type,delete,221,0.06287233531475067,0.12047592340874616,0.8104987144470215
train,corruption_type,gold,232,0.04436637461185455,0.06323759875222915,-2.727130651473999
train,corruption_type,insert,15,0.27114009857177734,0.3526806216930512,-0.86372971534729
train,corruption_type,replace,231,0.04798351600766182,0.08385727657697792,0.894771933555603
train,corruption_type,swap,226,0.08775793761014938,0.11427714110991996,0.734373927116394
train,corruption_type,truncate,231,0.04899313673377037,0.08922309659467853,0.8757572770118713
validation,domain,blocks,15,0.22382542490959167,0.24099873463508217,0.09194594621658325
validation,domain,gripper,10,0.22187919914722443,0.23799115642177368,0.11087489128112793
validation,domain,logistics,20,0.1337544023990631,0.2130557653392796,0.41457831859588623
validation,domain,visitall-from-everywhere,120,0.023136984556913376,0.027126683208625917,0.9923496842384338
validation,corruption_type,delete,33,0.051885493099689484,0.09966520072745756,0.8767945170402527
validation,corruption_type,gold,33,0.07633455097675323,0.11691308874125578,0.0
validation,corruption_type,insert,2,0.5808312892913818,0.5859155014994779,-63.06000518798828
validation,corruption_type,replace,33,0.047727882862091064,0.07634708842497952,0.9056293964385986
validation,corruption_type,swap,31,0.06780822575092316,0.09502763684192637,0.8694068193435669
validation,corruption_type,truncate,33,0.05932426452636719,0.12260025197906721,0.6969953775405884
test-interpolation,domain,blocks,15,0.18312174081802368,0.20916475550822033,0.5988040566444397
test-interpolation,domain,gripper,15,0.08414258807897568,0.09295840145665289,0.8287878036499023
test-interpolation,domain,logistics,45,0.20698915421962738,0.29193142670194416,0.08591318130493164
test-interpolation,domain,visitall-from-everywhere,185,0.07511039078235626,0.13696539973444308,0.8251852989196777
test-interpolation,corruption_type,delete,46,0.1336023360490799,0.23407265712411343,0.38385009765625
test-interpolation,corruption_type,gold,52,0.06711797416210175,0.09247498440618608,0.0
test-interpolation,corruption_type,insert,13,0.3418135344982147,0.4499365669152851,-2.3590283393859863
test-interpolation,corruption_type,repeat,1,0.10480988025665283,0.10480987971749121,nan
test-interpolation,corruption_type,replace,48,0.09323018044233322,0.15537426032406632,0.6230385303497314
test-interpolation,corruption_type,swap,48,0.10064756870269775,0.11970609004490451,0.6879864931106567
test-interpolation,corruption_type,truncate,52,0.07170271873474121,0.1106879373912796,0.86427241563797
test-extrapolation,domain,blocks,100,0.27159401774406433,0.3107903803409098,0.1472896933555603
test-extrapolation,domain,gripper,80,0.370233952999115,0.4189057764991893,-0.6702406406402588
test-extrapolation,domain,logistics,90,0.2805975675582886,0.32824288248871303,-0.08043491840362549
test-extrapolation,domain,visitall-from-everywhere,1095,0.1776820421218872,0.2240946635699904,0.4010835886001587
test-extrapolation,corruption_type,delete,273,0.18075203895568848,0.2360248748093079,0.23382055759429932
test-extrapolation,corruption_type,gold,273,0.24895524978637695,0.2864339110049513,0.0
test-extrapolation,corruption_type,insert,14,0.2642950415611267,0.31072089879392983,-0.5923360586166382
test-extrapolation,corruption_type,replace,273,0.1763102263212204,0.23337637026864172,0.2751454710960388
test-extrapolation,corruption_type,swap,259,0.16164903342723846,0.2132073068121295,0.36437761783599854
test-extrapolation,corruption_type,truncate,273,0.24023336172103882,0.28888720274753094,-2.139305830001831
