epoch,train_loss,val_loss
1,0.05682817424990629,0.023820035780469578
2,0.034028407578405584,0.01895098388195038
3,0.028085785476784957,0.015252270891020695
4,0.02283716584114652,0.015335444981853167
5,0.02227520227040115,0.015053376865883669
6,0.018294799141585827,0.013419332448393106
7,0.016609403010653823,0.012431148284425339
8,0.01699898485094309,0.013580793514847755
9,0.015920720969964015,0.011136635749911269
10,0.01484896215659223,0.01162913798665007
11,0.01392993274585981,0.012835650937631726
12,0.012969858625805691,0.01010738693488141
13,0.015446240548044443,0.010921483393758535
14,0.012442314053738588,0.01274626050144434
15,0.012850297909033926,0.011915602721273899
16,0.012357251902453993,0.013837458876272043
17,0.010915458974379458,0.010764946384976307
18,0.010202281419065241,0.014016897417604923
19,0.010194420263073161,0.012919666556020578
20,0.012301314242282197,0.011006856026748816
21,0.010430069468719395,0.010219051347424587
22,0.010252656794986442,0.010995858659346899
23,0.011612782328340569,0.01537704219420751
24,0.010320413588105063,0.010967243229970336
25,0.008744071923980587,0.010139582601065436
26,0.010055191839407934,0.009714193797359863
27,0.009960202230630736,0.013417850558956465
28,0.008476876914133563,0.010714259464293718
29,0.008859613738758,0.010572699519495169
30,0.008603307210203064,0.011363424826413393
31,0.007994104421844608,0.012919579166918993
32,0.009386033383443168,0.011169041584556302
33,0.010186002730686022,0.010257868251452843
34,0.009162664854604947,0.00959734246134758
35,0.008317023515701294,0.009808504488319159
36,0.007765401804231499,0.011414742097258568
37,0.00756608937425833,0.011680669151246548
38,0.010259765653723949,0.008385499784102043
39,0.008274180811560271,0.010962035662184158
40,0.0081859181947565,0.010408957178394
41,0.00786381879037148,0.013809264016648134
42,0.0075857750581283315,0.010425346593062082
43,0.008437203071815403,0.009881124055633942
44,0.007216896396130323,0.010642053481812278
45,0.007385396398603916,0.00990617104495565
46,0.007271598583381427,0.00982504904580613
47,0.007746499485189193,0.008713338136052092
48,0.0067709553251533135,0.011886326984191934
49,0.0074667145841215785,0.009738626113782326
50,0.006684001571939964,0.010304339695721865
51,0.006434533720541941,0.010586389495680729
52,0.006537899203402431,0.010645352536812425
53,0.006743588680891614,0.010380829373995462
54,0.006312954000589487,0.011218727100640535
55,0.007001113765382845,0.00960602362950643
56,0.00650635618397868,0.009724255263184508
57,0.0067289455879577685,0.010518376560260853
58,0.006441731692144745,0.010325188903758923
