epoch,train_loss,val_loss
1,0.8451263245783354,0.6929647525151571
2,0.6314123539548171,0.5718498627344767
3,0.44974041063534587,0.44257328907648724
4,0.351923848453321,0.3691944082578023
5,0.2645160336243479,0.30546310544013977
6,0.19096400275042183,0.25171853353579837
7,0.1520041109699952,0.23529154310623804
8,0.1506689641820757,0.2507591259976228
9,0.11950608813448955,0.2180103324353695
10,0.11155208964881144,0.24451341355840364
11,0.087796966104131,0.2078147865831852
12,0.10480805309979539,0.20700331032276154
13,0.10329582875496462,0.32581499715646106
14,0.10497062045492624,0.15037393011152744
15,0.07895438314268463,0.2936887244383494
16,0.0843584799256764,0.28336214646697044
17,0.07115620325662587,0.26399239028493565
18,0.0647909440296261,0.29287805904944736
19,0.05752170031988307,0.314616153948009
20,0.06810585958392996,0.2539434585099419
21,0.04865703986663567,0.3413900099694729
22,0.05366127717455751,0.2862179794659217
23,0.05925293286380015,0.31361353521545726
24,0.060067845483947745,0.11301391447583835
25,0.05294831940218022,0.15073223132640123
26,0.05734742089713875,0.22972433548420668
27,0.04799768264944616,0.4197786959509055
28,0.06679593629546855,0.1850362792611122
29,0.04906807413422748,0.2610910627990961
30,0.06432351960163367,0.26271939401825267
31,0.04724334518572217,0.2625501062721014
32,0.0454026966502792,0.2941206097602844
33,0.04204393805641877,0.29819322129090625
34,0.03963959726848101,0.3624179388086001
35,0.04373858746533331,0.27887939165035885
36,0.039869122868893964,0.2806129554907481
