MAE,RMSE,R2,family,model,split
0.03714338926112284,0.07619974175062023,0.9410065916142479,dd_lstm_shortest_path_delta,RF,train
0.07563017469071545,0.1255974904504972,0.8231159282246217,dd_lstm_shortest_path_delta,RF,validation
0.11352666952870906,0.17649822325204392,0.6955711059124594,dd_lstm_shortest_path_delta,RF,test-interpolation
0.25713194663017513,0.3341146927073359,-0.2524599593245247,dd_lstm_shortest_path_delta,RF,test-extrapolation
0.02675698697566986,0.04448251860322286,0.9798963069915771,dd_lstm_shortest_path_delta,XGB,train
0.09418997913599014,0.14257889577578875,0.772051215171814,dd_lstm_shortest_path_delta,XGB,validation
0.11911489814519882,0.17492963811149545,0.7009581327438354,dd_lstm_shortest_path_delta,XGB,test-interpolation
0.24142149090766907,0.30509155331803217,-0.0443187952041626,dd_lstm_shortest_path_delta,XGB,test-extrapolation
0.056310370564460754,0.09416655048940603,0.9099072217941284,dd_lstm_shortest_path_delta,MLP,train
0.06872928142547607,0.12784329620454227,0.8167336583137512,dd_lstm_shortest_path_delta,MLP,validation
0.1065022274851799,0.17105280307795445,0.7140661478042603,dd_lstm_shortest_path_delta,MLP,test-interpolation
0.17423002421855927,0.2515279005673387,0.29018521308898926,dd_lstm_shortest_path_delta,MLP,test-extrapolation
