split,group,group_value,num_examples,MAE,RMSE,R2
train,overall,overall,1156,0.04242398589849472,0.07230092810157777,0.9468890428543091
validation,overall,overall,165,0.04419668763875961,0.09590427998539006,0.8968657851219177
test-interpolation,overall,overall,260,0.08887345343828201,0.1556230005074553,0.7633247971534729
test-extrapolation,overall,overall,1365,0.17662742733955383,0.26678774693793156,0.20144563913345337
train,domain,blocks,45,0.03869996964931488,0.04905083173980265,0.9774994850158691
train,domain,gripper,20,0.07215847074985504,0.09935303503032486,0.9158755540847778
train,domain,logistics,60,0.10172441601753235,0.1333869404118007,0.8118617534637451
train,domain,visitall-from-everywhere,1031,0.038558680564165115,0.06729993353408384,0.9537113308906555
train,corruption_type,delete,221,0.04736965149641037,0.07819505769007977,0.9201692342758179
train,corruption_type,gold,232,0.024526322260499,0.04400891496256646,-0.8051164150238037
train,corruption_type,insert,15,0.2529772222042084,0.3362974965928511,-0.6945991516113281
train,corruption_type,replace,231,0.03972843661904335,0.05479442412647138,0.9550713896751404
train,corruption_type,swap,226,0.05874619260430336,0.07919300645295245,0.8724367022514343
train,corruption_type,truncate,231,0.028721904382109642,0.043390119398819836,0.97061687707901
validation,domain,blocks,15,0.05205487459897995,0.08124802408199953,0.8967933058738708
validation,domain,gripper,10,0.10542778670787811,0.15012632405223647,0.6462023258209229
validation,domain,logistics,20,0.14259162545204163,0.23598366847750543,0.2817988395690918
validation,domain,visitall-from-everywhere,120,0.021712664514780045,0.025730262852165356,0.9931170344352722
validation,corruption_type,delete,33,0.022849244996905327,0.03352226945897568,0.986061692237854
validation,corruption_type,gold,33,0.026864895597100258,0.02982299289263786,0.0
validation,corruption_type,insert,2,0.6791067123413086,0.6830508228664804,-86.06087493896484
validation,corruption_type,replace,33,0.043221160769462585,0.07124876163477284,0.9178123474121094
validation,corruption_type,swap,31,0.04928113520145416,0.06074601924867877,0.9466350078582764
validation,corruption_type,truncate,33,0.04059576243162155,0.08459261551682143,0.8557448387145996
test-interpolation,domain,blocks,15,0.11956211924552917,0.16815643581237621,0.7406976222991943
test-interpolation,domain,gripper,15,0.14829136431217194,0.18883727940444045,0.29346632957458496
test-interpolation,domain,logistics,45,0.16056758165359497,0.25530399586161207,0.3008973002433777
test-interpolation,domain,visitall-from-everywhere,185,0.06412839889526367,0.11400965697838635,0.8788734078407288
test-interpolation,corruption_type,delete,46,0.09335827827453613,0.15682927280198689,0.7234082221984863
test-interpolation,corruption_type,gold,52,0.0384865440428257,0.049429555959392364,0.0
test-interpolation,corruption_type,insert,13,0.3575843274593353,0.45044787225892935,-2.3666670322418213
test-interpolation,corruption_type,repeat,1,0.11523669958114624,0.1152366985474724,nan
test-interpolation,corruption_type,replace,48,0.08207916468381882,0.1517433905898246,0.6404507160186768
test-interpolation,corruption_type,swap,48,0.10809445381164551,0.13835458319630548,0.5831997394561768
test-interpolation,corruption_type,truncate,52,0.056137505918741226,0.08358398351481006,0.9226048588752747
test-extrapolation,domain,blocks,100,0.18346157670021057,0.23910480978807447,0.4952887296676636
test-extrapolation,domain,gripper,80,0.3624263405799866,0.4277942563298683,-0.7418721914291382
test-extrapolation,domain,logistics,90,0.260555237531662,0.33348501251264145,-0.11522018909454346
test-extrapolation,domain,visitall-from-everywhere,1095,0.15553079545497894,0.24696881769047355,0.27257633209228516
test-extrapolation,corruption_type,delete,273,0.20886540412902832,0.30996833749169295,-0.3214465379714966
test-extrapolation,corruption_type,gold,273,0.08597368746995926,0.1615779507957665,0.0
test-extrapolation,corruption_type,insert,14,0.4504554271697998,0.505149519993806,-3.208561897277832
test-extrapolation,corruption_type,replace,273,0.19354110956192017,0.2895409773763819,-0.11572504043579102
test-extrapolation,corruption_type,swap,259,0.20981590449810028,0.30434954068747894,-0.29521048069000244
test-extrapolation,corruption_type,truncate,273,0.17260058224201202,0.2211160763093066,-0.8391520977020264
