epoch,train_loss,val_loss
1,0.8316993901604101,0.6760352849960327
2,0.6226868033409119,0.5664345423380533
3,0.439717079463758,0.5020811061064402
4,0.35500715280834,0.4370206743478775
5,0.2749240312137102,0.4081234832604726
6,0.1980963741478167,0.37954457104206085
7,0.15846941267189227,0.3705201471845309
8,0.160411484147373,0.357781986395518
9,0.12848319230895294,0.34173017367720604
10,0.12324806851776023,0.37800583864251774
11,0.09962762264828932,0.38191404317816097
12,0.11034141539743073,0.35419726309676963
13,0.11346027706014483,0.4418220551063617
14,0.1325638019724896,0.3977315351366997
15,0.1194913369652472,0.40718477964401245
16,0.08036814149665206,0.5065650939941406
17,0.07558036713223708,0.3901597571869691
18,0.07377136714364353,0.45476734389861423
19,0.07230373834700961,0.3861995041370392
20,0.0651348919460648,0.3785295852770408
21,0.06571715099639014,0.5034189373254776
